column,dtype,missing,missing_share,n_unique
job_done_3,object,25088,0.9905243209096652,1
job_done_2,object,25008,0.9873657612128869,1
job_done_1,object,24846,0.9809696778269109,1
shift_start_time_3,object,24319,0.960162665824384,647
shift_duration_3,float64,24319,0.960162665824384,14
task_type_3,object,24319,0.960162665824384,15
shift_price_per_hour_3,float64,24319,0.960162665824384,1009
shift_booked_time_3,object,24319,0.960162665824384,1009
task_group_3,object,24319,0.960162665824384,6
shift_region_3,object,24319,0.960162665824384,8
shift_region_2,object,23929,0.94476468730259,8
task_type_2,object,23929,0.94476468730259,14
shift_price_per_hour_2,float64,23929,0.94476468730259,1399
shift_booked_time_2,object,23929,0.94476468730259,1399
shift_duration_2,float64,23929,0.94476468730259,17
task_group_2,object,23929,0.94476468730259,6
shift_start_time_2,object,23929,0.94476468730259,785
task_group_1,object,22958,0.9064276689829438,6
shift_price_per_hour_1,float64,22958,0.9064276689829438,2370
shift_region_1,object,22958,0.9064276689829438,8
shift_duration_1,float64,22958,0.9064276689829438,16
task_type_1,object,22958,0.9064276689829438,14
shift_booked_time_1,object,22958,0.9064276689829438,2370
shift_start_time_1,object,22958,0.9064276689829438,949
cv_professions,object,17164,0.6776689829437776,1578
cv_titles,object,16802,0.6633765003158559,4002
age,float64,10882,0.42964308275426405,6
gender,object,10882,0.42964308275426405,2
income,float64,10882,0.42964308275426405,4
vac_titles,object,8899,0.35135028427037274,15968
vac_schedules,object,8899,0.35135028427037274,65
vac_professions,object,8899,0.35135028427037274,13041
app_version,object,2149,0.08484680985470626,61
region,object,15,0.0005922299431459255,83
platform,object,9,0.00035533796588755527,3
item_view_frequency,int64,0,0.0,70
success_verification_gu_flg,int64,0,0.0,2
started_verification_gu_flg,int64,0,0.0,2
serp_frequency,int64,0,0.0,229
cv_free_grafik_flg,int64,0,0.0,2
quantity_responses,int64,0,0.0,335
cv_podrabotka_flg,int64,0,0.0,2
vac_podrabotka_flg,int64,0,0.0,2
click_internet_adv_flg,int64,0,0.0,2
opened_push_flg,int64,0,0.0,2
watched_stories_in_app_flg,int64,0,0.0,2
click_addv_communication_flg,int64,0,0.0,2
has_call_centre_communication_flg,int64,0,0.0,2
