segment,stage,n,segment_users,share_of_segment
Нет признаков интереса,Все пользователи,9766,9766,1.0
Нет признаков интереса,Начали верификацию,3342,9766,0.34220765922588575
Нет признаков интереса,Успешно прошли верификацию,624,9766,0.06389514642637723
Нет признаков интереса,Забронировали первую смену,366,9766,0.03747696088470203
Нет признаков интереса,Успешно завершили первую смену,78,9766,0.007986893303297153
Есть признаки интереса,Все пользователи,15562,15562,1.0
Есть признаки интереса,Начали верификацию,8963,15562,0.575954247526025
Есть признаки интереса,Успешно прошли верификацию,2927,15562,0.1880863642205372
Есть признаки интереса,Забронировали первую смену,2004,15562,0.12877522169386968
Есть признаки интереса,Успешно завершили первую смену,404,15562,0.025960673435291095
