responses_bin,interest_segment,users,booked,booking_cr,share_of_all
0 откликов,Есть признаки интереса к подработке,333,12,0.036036036036036036,0.013147504737839545
0 откликов,Нет признаков интереса к подработке,8566,330,0.03852439878589774,0.33820277953253314
1 отклик,Есть признаки интереса к подработке,1496,89,0.05949197860962567,0.059065066329753634
1 отклик,Нет признаков интереса к подработке,741,17,0.022941970310391364,0.02925615919140872
2 или 3 отклика,Есть признаки интереса к подработке,2155,174,0.08074245939675175,0.08508370183196462
2 или 3 отклика,Нет признаков интереса к подработке,316,14,0.04430379746835443,0.012476310802274163
4-10 откликов,Есть признаки интереса к подработке,3943,383,0.09713416180573167,0.15567751105495894
4-10 откликов,Нет признаков интереса к подработке,129,5,0.03875968992248062,0.005093177511054959
Больше 10 откликов,Есть признаки интереса к подработке,7635,1346,0.17629338572364112,0.30144504106127606
Больше 10 откликов,Нет признаков интереса к подработке,14,0,0.0,0.0005527479469361971
