factor,factor_name,groups_checked,groups_where_warm_higher,significant_groups_5pct,median_diff_pp,min_diff_pp,max_diff_pp,share_groups_warm_higher
click_internet_adv_flg,Клик по интернет-рекламе,2,2,2,15.150049242686926,8.552086175871798,21.74801230950205,1.0
opened_push_flg,Открытие пуша,2,2,2,12.082469443330982,6.057305888886448,18.107632997775514,1.0
watched_stories_in_app_flg,Просмотр сторис,2,2,2,11.465454404900386,7.92886882612064,15.002039983680133,1.0
platform_model,Платформа,3,3,3,9.543017657827022,3.6448902457846923,9.856908713228416,1.0
income_model,Доход,5,5,4,8.366727128775914,3.830171635049684,11.673860472185298,1.0
age_model,Возраст,6,6,5,8.290694814975772,5.232884399551066,11.39811160885904,1.0
region_model,Регион,16,16,10,7.803834096937545,0.5346209752015152,16.022209339686956,1.0
click_addv_communication_flg,Клик по внутренней коммуникации,1,1,1,7.487061024876901,7.487061024876901,7.487061024876901,1.0
has_item_view_label,Открытие карточки смены,2,2,1,6.620211157375267,0.02168021680216802,13.218742097948367,1.0
has_call_centre_communication_flg,Звонок колл-центра,2,2,1,6.617994667283501,5.147058823529416,8.088930511037587,1.0
responses_bin,Количество откликов,4,3,3,3.649433511381581,-0.24883627498617014,5.837447188325105,0.75
